Estado,2021
AC,350547139.11168486
AL,62612792.59389813
AM,1189648501.8496125
AP,35684101.6939916
BA,593225068.1484435
CE,203473137.9870568
DF,56687377.47433015
ES,269754653.36977243
GO,600808135.236309
MA,947632428.3736011
MG,1250651375.999199
MS,555127848.2360779
MT,2081610148.254339
PA,3701683546.2860503
PB,95325043.68136296
PE,183607670.82817924
PI,114688082.73901032
PR,656768479.0254647
RJ,576713743.774119
RN,72238379.15945034
RO,1083514870.8295588
RR,528207080.45487285
RS,781464289.92851
SC,448401038.40914154
SE,81189730.70949353
SP,1223309317.361076
TO,408215927.93485886
